,Ambystoma altamirani,Ambystoma mexicanum,Ambystoma rivulare,Andrias japonicus,Aquiloeurycea cafetalera,Batrachoseps attenuatus,Batrachuperus tibetanus,Bolitoglossa franklini,Bolitoglossa lincolni,Chiropterotriton nubilus,Cryptobranchus alleganiensis,Cynops pyrrhogaster,Desmognathus monticola,Echinotriton andersoni,Ensatina eschscholtzii,Eurycea bislineata,Ichthyosaura alpestris,Lissotriton boscai,Lissotriton helveticus,Lissotriton vulgaris,Notophthalmus viridescens,Parvimolge townsendi,Plethodon cinereus,Plethodon glutinosus,Pseudoeurycea altamontana,Aquiloeurycea cephalica,Pseudoeurycea gadovii,Pseudoeurycea granitum,Pseudoeurycea leprosa,Pseudoeurycea longicauda,Pseudoeurycea lynchi,Pseudoeurycea melanomolga,Pseudoeurycea nigromaculata,Pseudoeurycea rex,Pseudoeurycea robertsi,Pseudoeurycea sp,Salamandra salamandra,Taricha granulosa,Taricha torosa,Triturus cristatus,Triturus marmoratus
Bacteria;SR1;SR1_genera_incertae_sedis,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,53,29,60,36
Bacteria;Spirochaetes;Spirochaetia,52,22,46,9,49,58,4,2,4,7,15,31,8,21,56,8,24,45,5,21,22,19,42,59,8,6,6,3,17,3,19,5,3,15,6,9,50,47,29,47,33
Bacteria;Synergistetes;Synergistia,60,22,46,17,53,60,4,3,4,8,53,29,11,20,57,12,23,53,7,25,25,21,54,59,8,7,7,3,17,3,21,4,5,19,6,9,52,54,29,56,36
Bacteria;Tenericutes;Mollicutes,59,18,46,17,53,58,4,3,4,8,53,32,11,22,51,12,31,53,7,26,25,21,54,57,8,7,7,3,17,3,19,5,5,16,6,7,60,51,28,60,35
Bacteria;Thermotogae;Thermotogae,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,53,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,59,54,29,57,36
Bacteria;Verrucomicrobia;Opitutae,60,22,40,17,53,60,4,0,2,8,12,32,11,22,57,12,31,54,7,26,25,21,54,60,7,4,4,3,15,3,21,5,5,2,5,0,60,54,29,60,36
Bacteria;Verrucomicrobia;Spartobacteria,18,8,43,12,16,16,4,1,2,3,33,27,11,16,14,12,27,27,6,13,25,10,40,33,4,4,3,1,9,2,4,0,0,3,1,1,24,40,7,37,8
Bacteria;Verrucomicrobia;Subdivision3,6,14,39,10,9,3,2,0,3,0,11,11,1,14,10,2,17,16,3,10,3,6,4,17,6,5,3,0,10,2,2,4,0,1,4,0,17,14,2,22,10
Bacteria;Verrucomicrobia;Subdivision5,48,20,46,14,52,57,4,3,4,7,53,31,8,19,53,11,8,50,6,21,25,21,46,57,8,7,6,3,17,3,21,5,5,19,6,9,45,41,29,43,35
Bacteria;Verrucomicrobia;Verrucomicrobiae,38,7,34,14,35,37,4,0,3,8,8,23,11,18,22,12,23,28,2,22,25,16,54,57,5,4,5,2,17,3,19,5,4,4,2,3,40,30,9,49,28
Bacteria;Verrucomicrobia;__,18,3,44,12,22,22,4,2,4,3,20,20,3,14,31,5,20,34,3,17,9,16,29,47,3,4,2,1,12,2,13,3,1,9,2,5,24,14,13,45,28
Bacteria;Verrucomicrobia;unclassified_Verrucomicrobia,50,10,46,14,47,45,4,3,4,7,53,27,11,21,47,10,29,47,6,22,25,20,41,58,4,3,5,2,17,3,17,4,2,19,3,9,43,49,23,52,29
Bacteria;__;__,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Bacteria;candidatedivisionWPS-1;WPS-1_genera_incertae_sedis,31,22,42,13,20,7,3,1,1,2,27,25,11,17,12,12,23,23,6,15,19,12,28,30,3,4,1,0,11,1,8,2,0,2,2,1,17,38,5,50,9
Bacteria;candidatedivisionWPS-2;WPS-2_genera_incertae_sedis,39,22,46,17,39,50,4,2,3,2,53,29,11,20,50,12,31,22,7,23,22,17,37,46,6,4,5,1,16,2,13,4,3,10,4,4,37,50,23,57,6
Bacteria;unclassified_Bacteria;,2,1,9,3,1,0,0,0,0,0,12,2,1,6,0,2,5,1,0,2,3,4,8,4,2,3,2,0,10,1,2,1,0,0,0,0,8,0,0,5,0
