,Ambystoma altamirani,Ambystoma mexicanum,Ambystoma rivulare,Andrias japonicus,Aquiloeurycea cafetalera,Batrachoseps attenuatus,Batrachuperus tibetanus,Bolitoglossa franklini,Bolitoglossa lincolni,Chiropterotriton nubilus,Cryptobranchus alleganiensis,Cynops pyrrhogaster,Desmognathus monticola,Echinotriton andersoni,Ensatina eschscholtzii,Eurycea bislineata,Ichthyosaura alpestris,Lissotriton boscai,Lissotriton helveticus,Lissotriton vulgaris,Notophthalmus viridescens,Parvimolge townsendi,Plethodon cinereus,Plethodon glutinosus,Pseudoeurycea altamontana,Aquiloeurycea cephalica,Pseudoeurycea gadovii,Pseudoeurycea granitum,Pseudoeurycea leprosa,Pseudoeurycea longicauda,Pseudoeurycea lynchi,Pseudoeurycea melanomolga,Pseudoeurycea nigromaculata,Pseudoeurycea rex,Pseudoeurycea robertsi,Pseudoeurycea sp,Salamandra salamandra,Taricha granulosa,Taricha torosa,Triturus cristatus,Triturus marmoratus
Bacteria;Deferribacteres;Deferribacteres,0,0,0,11.76470588,0,0,0,0,0,0,0,0,0,0,0,0,6.451612903,0,0,7.692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.925925926,0,0,0,0
Bacteria;Deinococcus-Thermus;Deinococci,46.03174603,27.27272727,6.52173913,47.05882353,11.32075472,18.33333333,25,66.66666667,25,0,33.96226415,31.25,27.27272727,13.63636364,28.07017544,16.66666667,41.93548387,35.18518519,14.28571429,26.92307692,32,19.04761905,22.22222222,26.66666667,12.5,14.28571429,57.14285714,0,17.64705882,0,23.80952381,80,60,63.15789474,50,66.66666667,32.40740741,22.22222222,24.13793103,43.33333333,16.66666667
Bacteria;Elusimicrobia;Elusimicrobia,3.174603175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.78947368,0,11.11111111,0,0,0,0,0
Bacteria;Elusimicrobia;Endomicrobia,7.936507937,0,0,0,0,0,0,0,0,0,3.773584906,0,0,0,0,0,6.451612903,0,0,3.846153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Elusimicrobia;__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.851851852,0,0,0
Bacteria;Elusimicrobia;unclassified_Elusimicrobia,31.74603175,0,0,11.76470588,20.75471698,31.66666667,0,33.33333333,0,12.5,0,0,18.18181818,0,19.29824561,33.33333333,0,16.66666667,0,7.692307692,20,19.04761905,9.259259259,16.66666667,0,14.28571429,0,66.66666667,11.76470588,0,14.28571429,0,20,5.263157895,0,11.11111111,32.40740741,9.259259259,24.13793103,1.666666667,19.44444444
Bacteria;Fibrobacteres;Chitinivibrionia,1.587301587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Fibrobacteres;Fibrobacteria,0,0,2.173913043,0,0,0,0,0,0,0,1.886792453,0,0,0,0,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Bacilli,93.65079365,72.72727273,63.04347826,100,79.24528302,81.66666667,100,100,100,87.5,94.33962264,100,100,81.81818182,80.70175439,100,100,100,100,100,100,95.23809524,98.14814815,98.33333333,100,100,100,100,100,100,95.23809524,80,100,100,66.66666667,100,91.66666667,59.25925926,86.20689655,100,94.44444444
Bacteria;Firmicutes;Clostridia,85.71428571,68.18181818,30.43478261,94.11764706,35.8490566,40,100,100,0,37.5,50.94339623,96.875,81.81818182,95.45454545,33.33333333,75,100,96.2962963,100,96.15384615,68,42.85714286,72.22222222,46.66666667,62.5,71.42857143,100,33.33333333,82.35294118,33.33333333,66.66666667,60,80,84.21052632,66.66666667,88.88888889,79.62962963,81.48148148,44.82758621,98.33333333,86.11111111
