,Ambystoma altamirani,Ambystoma mexicanum,Ambystoma rivulare,Andrias japonicus,Aquiloeurycea cafetalera,Batrachoseps attenuatus,Batrachuperus tibetanus,Bolitoglossa franklini,Bolitoglossa lincolni,Chiropterotriton nubilus,Cryptobranchus alleganiensis,Cynops pyrrhogaster,Desmognathus monticola,Echinotriton andersoni,Ensatina eschscholtzii,Eurycea bislineata,Ichthyosaura alpestris,Lissotriton boscai,Lissotriton helveticus,Lissotriton vulgaris,Notophthalmus viridescens,Parvimolge townsendi,Plethodon cinereus,Plethodon glutinosus,Pseudoeurycea altamontana,Aquiloeurycea cephalica,Pseudoeurycea gadovii,Pseudoeurycea granitum,Pseudoeurycea leprosa,Pseudoeurycea longicauda,Pseudoeurycea lynchi,Pseudoeurycea melanomolga,Pseudoeurycea nigromaculata,Pseudoeurycea rex,Pseudoeurycea robertsi,Pseudoeurycea sp,Salamandra salamandra,Taricha granulosa,Taricha torosa,Triturus cristatus,Triturus marmoratus
Bacteria;Proteobacteria;Epsilonproteobacteria,0.098544974,0.001893939,0.043478261,0.012254902,0,0,0,0,0.041666667,0,0.066823899,0.015625,0.018939394,0,0.004385965,0.006944444,0.001344086,0.00462963,0.011904762,0.003205128,0.006666667,0.005952381,0.025462963,0.002083333,0,0,0,0,0.004901961,0,0.015873016,0,0,0.002192982,0.013888889,0.00462963,0.008487654,0.331790123,0.002873563,0.06875,0
Bacteria;Proteobacteria;Gammaproteobacteria,31.41865079,8.727272727,43.28894928,38.76470588,36.55345912,29.33055556,15.96875,18.97222222,10.47916667,41.25520833,5.046383648,29.8359375,73.23863636,25.09848485,29.11769006,67.63888889,41.43548387,23.12654321,43.73214286,36.5625,67.79666667,50.3968254,49.54320988,26.42777778,7.953125,25.53571429,11.17261905,30.93055556,14.63970588,21.13888889,40.99206349,6.208333333,27.89166667,21.26096491,12.625,18,25.12770062,25.51080247,36.19109195,37.97152778,31.84027778
Bacteria;Proteobacteria;Oligoflexia,0,0,0,0,0,0,0,0,0,0,0.030660377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039473684,0,0,0,0,0,0,0
Bacteria;Proteobacteria;__,3.300925926,46.11363636,5.451086957,4.833333333,2.294811321,3.940972222,0.770833333,0.208333333,0.166666667,2.026041667,3.071540881,4.08984375,1.003787879,0.693181818,4.02997076,0.767361111,1.240591398,2.658950617,4.505952381,6.350961538,0.68,1.426587302,2.177469136,2.510416667,0.552083333,0.452380952,0.797619048,3.069444444,0.230392157,1.472222222,1.998015873,0.55,2.316666667,0.557017544,1.270833333,0.425925926,2.280864198,4.263117284,3.261494253,4.9125,2.334490741
Bacteria;Proteobacteria;unclassified_Proteobacteria,0,0,0,0,0,0,0,0,0,0,0.003930818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;SR1;SR1_genera_incertae_sedis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000771605,0,0,0
Bacteria;Spirochaetes;Spirochaetia,0.007936508,0,0,0.629901961,0.007861635,0.001388889,0,0.097222222,0,0.015625,0.472484277,0.006510417,0.03030303,0.001893939,0.000730994,0.017361111,0.021505376,0.010030864,0.077380952,0.022435897,0.011666667,0.005952381,0.016975309,0.001388889,0,0.005952381,0.005952381,0,0,0,0.005952381,0,0.308333333,0.015350877,0,0,0.022376543,0.014660494,0,0.025,0.008101852
Bacteria;Synergistetes;Synergistia,0,0,0,0,0,0,0,0,0,0,0,0.005208333,0,0.003787879,0,0,0.014784946,0.00154321,0,0.004807692,0,0,0,0.000694444,0,0,0,0,0,0,0,0.008333333,0,0,0,0,0.018518519,0,0,0.004166667,0
Bacteria;Tenericutes;Mollicutes,0.001322751,0.024621212,0,0,0,0.003472222,0,0,0,0,0,0,0,0,0.009502924,0,0,0.00154321,0,0,0,0,0,0.003472222,0,0,0,0,0,0,0.003968254,0,0,0.019736842,0,0.046296296,0.000385802,0.005401235,0.001436782,0,0.00462963
Bacteria;Thermotogae;Thermotogae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00308642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001929012,0,0,0.017361111,0
Bacteria;Verrucomicrobia;Opitutae,0,0,0.057065217,0,0,0,0,0.083333333,0.239583333,0,0.599056604,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020833333,0.148809524,0.071428571,0,0.012254902,0,0,0,0,0.495614035,0.006944444,0.828703704,0,0,0,0,0
