,Ambystoma altamirani,Ambystoma mexicanum,Ambystoma rivulare,Andrias japonicus,Aquiloeurycea cafetalera,Batrachoseps attenuatus,Batrachuperus tibetanus,Bolitoglossa franklini,Bolitoglossa lincolni,Chiropterotriton nubilus,Cryptobranchus alleganiensis,Cynops pyrrhogaster,Desmognathus monticola,Echinotriton andersoni,Ensatina eschscholtzii,Eurycea bislineata,Ichthyosaura alpestris,Lissotriton boscai,Lissotriton helveticus,Lissotriton vulgaris,Notophthalmus viridescens,Parvimolge townsendi,Plethodon cinereus,Plethodon glutinosus,Pseudoeurycea altamontana,Aquiloeurycea cephalica,Pseudoeurycea gadovii,Pseudoeurycea granitum,Pseudoeurycea leprosa,Pseudoeurycea longicauda,Pseudoeurycea lynchi,Pseudoeurycea melanomolga,Pseudoeurycea nigromaculata,Pseudoeurycea rex,Pseudoeurycea robertsi,Pseudoeurycea sp,Salamandra salamandra,Taricha granulosa,Taricha torosa,Triturus cristatus,Triturus marmoratus
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;__,0.161375661,0,0.004528986,0.009803922,0.001572327,0.007638889,0,0,0,0,0.001572327,0.044270833,0.106060606,0.005681818,0.003654971,0.0625,0.010752688,0.013117284,0.071428571,0.038461538,0.016666667,0,0.067901235,0.03125,0,0,0,0,0.009803922,0,0.003968254,0,0.008333333,0,0,0,0.028935185,0.249228395,0.001436782,0.044444444,0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;unclassified_Desulfuromonadales,0.005952381,0,0,0,0,0,0,0,0,0,0.000786164,0.002604167,0,0,0,0,0,0,0,0,0,0,0.00308642,0.003472222,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007716049,0,0.002083333,0
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Cystobacterineae,0.104497354,0.005681818,0.007246377,0.058823529,0.136006289,0.202083333,0.020833333,0.055555556,0,0.052083333,0.057389937,0.053385417,0.102272727,0.005681818,0.124269006,0.086805556,0.021505376,0.069444444,0.053571429,0.038461538,0.063333333,0.075396825,0.091820988,0.204166667,0,0.023809524,0.279761905,0.180555556,0.014705882,0.027777778,0.081349206,0.075,0.366666667,0.096491228,0.0625,0.092592593,0.127314815,0.242283951,0.11637931,0.046527778,0.109953704
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Nannocystineae,0.112433862,0.221590909,0.015398551,0.039215686,0.248427673,0.722916667,0,0.069444444,0.020833333,0.125,0.006289308,0.02734375,0.143939394,0.003787879,0.44005848,0.222222222,0.032258065,0.078703704,0.023809524,0.041666667,0.145,0.148809524,0.180555556,0.332638889,0,0,0.19047619,0.75,0.107843137,0.375,0.182539683,0.266666667,0.233333333,0.401315789,0.222222222,0.162037037,0.363425926,0.293981481,0.545977011,0.025694444,0.096064815
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Sandaracinaceae,0.027777778,0.001893939,0,0.009803922,0.01572327,0.1,0,0,0,0.005208333,0,0.006510417,0.007575758,0,0.076754386,0.006944444,0.001344086,0.002314815,0,0.033653846,0.011666667,0,0.006944444,0.013888889,0,0,0.005952381,0.027777778,0,0,0.001984127,0,0.091666667,0.006578947,0.006944444,0,0.03433642,0.032407407,0.083333333,0.014583333,0
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Sorangiineae,0.101851852,0.001893939,0.030797101,0.056372549,0.41745283,0.76875,0,0.208333333,0.208333333,0.28125,0.355345912,0.065104167,0.109848485,0.003787879,0.362573099,0.131944444,0.02688172,0.261574074,0.119047619,0.051282051,0.113333333,0.166666667,0.295524691,0.258333333,0.046875,0.089285714,0.208333333,0.972222222,0.102941176,0.305555556,0.472222222,0.075,0.483333333,0.291666667,0.3125,0.268518519,0.410493827,0.209876543,0.520114943,0.038194444,0.266203704
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;__,0.025132275,0,0.007246377,0.007352941,0.050314465,0.216666667,0.177083333,0.013888889,0.020833333,0.005208333,0.016509434,0.01171875,0.113636364,0.001893939,0.19371345,0.204861111,0.00672043,0.030092593,0,0.032051282,0.096666667,0.063492063,0.084876543,0.103472222,0.015625,0.017857143,0.089285714,0.125,0.022058824,0,0.035714286,0.025,0.216666667,0.103070175,0.020833333,0.009259259,0.094135802,0.027777778,0.110632184,0.009027778,0.006944444
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;unclassified_Myxococcales,0.022486772,0.003787879,0,0,0.078616352,0.154166667,0,0,0,0.005208333,0.116352201,0.006510417,0.037878788,0.001893939,0.166666667,0.024305556,0.001344086,0.002314815,0,0,0.021666667,0.015873016,0.023919753,0.05,0,0,0,0.041666667,0.012254902,0,0.029761905,0,0.125,0.037280702,0.006944444,0.013888889,0.073302469,0.034722222,0.189655172,0.005555556,0.006944444
Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophaceae,0.011243386,0,0,0.029411765,0,0.003472222,0,0,0,0,0.003144654,0.006510417,0.003787879,0.003787879,0.009502924,0.013888889,0.005376344,0.000771605,0.107142857,0.004807692,0.01,0,0.020833333,0.021527778,0,0,0,0,0,0,0,0,0,0,0,0,0.00154321,0.023919753,0.001436782,0.021527778,0.00462963
Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophobacteraceae,0.005952381,0,0.003623188,0,0,0,0,0,0,0,0.003930818,0,0,0,0.001461988,0,0.00672043,0,0,0.009615385,0,0,0,0.016666667,0,0,0,0,0,0,0,0,0,0.002192982,0,0,0.002700617,0,0,0.011805556,0
