"","Ambystoma altamirani","Ambystoma mexicanum","Ambystoma rivulare","Andrias japonicus","Aquiloeurycea cafetalera","Batrachoseps attenuatus","Batrachuperus tibetanus","Bolitoglossa franklini","Bolitoglossa lincolni","Chiropterotriton nubilus","Cryptobranchus alleganiensis","Cynops pyrrhogaster","Desmognathus monticola","Echinotriton andersoni","Ensatina eschscholtzii","Eurycea bislineata","Ichthyosaura alpestris","Lissotriton boscai","Lissotriton helveticus","Lissotriton vulgaris","Notophthalmus viridescens","Parvimolge townsendi","Plethodon cinereus","Plethodon glutinosus","Pseudoeurycea altamontana","Aquiloeurycea cephalica","Pseudoeurycea gadovii","Pseudoeurycea granitum","Pseudoeurycea leprosa","Pseudoeurycea longicauda","Pseudoeurycea lynchi","Pseudoeurycea melanomolga","Pseudoeurycea nigromaculata","Pseudoeurycea rex","Pseudoeurycea robertsi","Pseudoeurycea sp","Salamandra salamandra","Taricha granulosa","Taricha torosa","Triturus cristatus","Triturus marmoratus"
"Notophthalmus viridescens",0.446487123808102,0.668869665196357,0.261629628544979,0.322739907446379,0.348267860705251,0.439726796869213,0.691476144789258,0.509884495779653,0.626021347975262,0.313412995766592,0.64517637164101,0.376682666515747,0.0760621331669354,0.544112552529455,0.441221509462218,0.0514998500259444,0.336815691503632,0.426829065541446,0.321660030022202,0.315977832785677,0,0.223556041787758,0.192990192164164,0.406497240267434,0.615896773037619,0.430076093990583,0.572751575982169,0.394849187654037,0.579102665471985,0.496069985345708,0.302711963646154,0.665634212785013,0.409316190202557,0.460442494330882,0.561029177477355,0.502886503176471,0.440376869910016,0.43951903903305,0.37841043890866,0.304799480126385,0.358302780099635
"Parvimolge townsendi",0.258503486305873,0.656657670238889,0.169510484509637,0.32340236551386,0.173579875733778,0.401026691334831,0.690803746368932,0.484536337442962,0.605278378229921,0.121154242635246,0.449344602196663,0.292263162833824,0.277558719899143,0.543327974539422,0.405307245133517,0.235758822779641,0.336012812126897,0.402694178496342,0.340595032143696,0.31285681729817,0.223556041787758,0,0.166980840887855,0.38559185451814,0.595605939766815,0.411741325171907,0.585964912280702,0.292967443265817,0.592251433824399,0.460523366950102,0.125209590878605,0.647534834818871,0.253091832271966,0.438410239881689,0.518707689813126,0.496528855420703,0.418117158836382,0.354838871125052,0.33300059944323,0.328216895446452,0.342110528044991
"Plethodon cinereus",0.399595369554061,0.626281580960035,0.16308774202941,0.272984058611247,0.22087564937362,0.276908865834271,0.602630678415604,0.417681673021563,0.511912520049262,0.263361618199681,0.627534370818881,0.317614376804166,0.224154134079132,0.487947818855842,0.284797885228622,0.171032155205451,0.275168037275744,0.305046039840053,0.274830186544595,0.277348980831997,0.192990192164164,0.166980840887855,0,0.239394732492793,0.520977585161225,0.336812547641544,0.512462706819097,0.268308777919044,0.535767631426858,0.363513388709914,0.209066812615915,0.597725821221011,0.287591761162373,0.307736076409498,0.390110472281551,0.39391989382186,0.286766054891547,0.388101174976767,0.209854660982342,0.274146433409476,0.243110483928957
"Plethodon glutinosus",0.384822130378559,0.54774350190696,0.313309951876384,0.33990223492004,0.258225330493592,0.189676534265075,0.528283515507555,0.317842494047939,0.394118191256437,0.393842130528836,0.566583780555798,0.286377651391645,0.435275253602376,0.405848565441097,0.202913125450188,0.379562749903263,0.370753529380746,0.185035201058054,0.404585988620073,0.300459848506978,0.406497240267434,0.38559185451814,0.239394732492793,0,0.447812552218392,0.234978554548633,0.408658420162678,0.224286631608547,0.456114703420926,0.285121773002297,0.302869360770796,0.47867798092067,0.191501174637768,0.162654523782621,0.284459127012019,0.277097748458848,0.138068430117478,0.311340928083935,0.225701013443652,0.332280419298952,0.174689442104796
"Pseudoeurycea altamontana",0.638826893768587,0.556185437137818,0.57184056507021,0.623280428660031,0.553275683368656,0.485949922590708,0.671095533094229,0.378799524841031,0.478422535211268,0.593103724148966,0.585386690834411,0.549230009428456,0.614390502007741,0.594087256027555,0.50623973479997,0.579196914092845,0.59506302797442,0.479327596557935,0.657651101195447,0.587859297018869,0.615896773037619,0.595605939766815,0.520977585161225,0.447812552218392,0,0.314993791737978,0.26386732800727,0.533506757903071,0.357506320861227,0.339544995729482,0.548108530369476,0.237024614859871,0.510555277638819,0.420593690220716,0.257833373815885,0.407658949590437,0.487814380833309,0.566087370311788,0.498508593204117,0.610012505160623,0.473702623906706
"Aquiloeurycea cephalica",0.442887931793699,0.646762811656429,0.377297440657738,0.423477624362021,0.364613317538931,0.259010609821106,0.609507605679448,0.307844253239144,0.512154791908362,0.403771328932619,0.664130039669369,0.360126732106384,0.429402287390453,0.387072689933987,0.283444681749766,0.398449560708868,0.409588672070135,0.334339006803422,0.465557899962765,0.390784205723493,0.430076093990583,0.411741325171907,0.336812547641544,0.234978554548633,0.314993791737978,0,0.285714285714286,0.356108470785574,0.353276197754608,0.220078207798852,0.323292280772596,0.352332874013213,0.322498554077501,0.27205055580068,0.247796815310715,0.33977265839803,0.26855940060641,0.367854864754593,0.29084658233724,0.411751498818335,0.26352300100228
"Pseudoeurycea gadovii",0.613449485125988,0.592359956120174,0.568366645667488,0.597674255237519,0.549590121663937,0.430218971784663,0.646869495248244,0.411372950819672,0.478296562339661,0.582717592815203,0.590999646645407,0.520328274565563,0.57494538863154,0.515876106704012,0.432763165273961,0.562919592112652,0.553935802746497,0.430432534895744,0.609289495929172,0.544639644350537,0.572751575982169,0.585964912280702,0.512462706819097,0.408658420162678,0.26386732800727,0.285714285714286,0,0.528303590237443,0.343835243325867,0.382765288856659,0.462615404620519,0.21657680577037,0.485998578535892,0.398199132953915,0.215561971713114,0.412426387877986,0.408153006899054,0.524443856660894,0.46777896831471,0.543086436099573,0.369805575982764
"Pseudoeurycea granitum",0.283738878765141,0.549977709254375,0.207726427040372,0.315632110419526,0.157800802556787,0.172303061520136,0.541444516896168,0.446587807097361,0.436265281319258,0.307789123049407,0.522409758173179,0.232058054259193,0.450835541763357,0.4776123981336,0.181565368893654,0.395204009948926,0.368566490533895,0.2504853127241,0.399230812106348,0.281713100634493,0.394849187654037,0.292967443265817,0.268308777919044,0.224286631608547,0.533506757903071,0.356108470785574,0.528303590237443,0,0.536099600669521,0.384270975277399,0.248811306524424,0.564520731359336,0.166734216679657,0.317995865042009,0.400599400599401,0.418651449166541,0.213384005952022,0.273960362011685,0.179204939672289,0.326227027204384,0.24572572088588
"Pseudoeurycea leprosa",0.629397020279139,0.611363451122193,0.568264691664528,0.594273355407966,0.554378872767059,0.501272113847426,0.639464222642842,0.245042222307134,0.511611515288955,0.581316302855986,0.696403128659673,0.546125420071676,0.578360056181678,0.584468150187962,0.53186930797912,0.577150533230673,0.58065144259866,0.480042014871732,0.613443820819655,0.553393870048213,0.579102665471985,0.592251433824399,0.535767631426858,0.456114703420926,0.357506320861227,0.353276197754608,0.343835243325867,0.536099600669521,0,0.355594314265733,0.564360945941997,0.438996579247435,0.509926912757887,0.387782948393212,0.369289373440168,0.265829335074983,0.506701398330241,0.559311321016551,0.518846909976176,0.533747133077747,0.495372177576757
"Pseudoeurycea longicauda",0.489558140333492,0.626381606479088,0.453216220018288,0.463236406371813,0.371974783546888,0.357799904222204,0.576385950063479,0.301583605030275,0.503817029825375,0.454873520941046,0.653454963433119,0.394186180201587,0.507967659688674,0.487659786743157,0.381038678610262,0.469961217807297,0.454839101396478,0.343100258971513,0.507401462457642,0.435974341655887,0.496069985345708,0.460523366950102,0.363513388709914,0.285121773002297,0.339544995729482,0.220078207798852,0.382765288856659,0.384270975277399,0.355594314265733,0,0.427959235600552,0.43253152105875,0.355887993862677,0.29526891662814,0.285488958990536,0.30369121085515,0.352810108915086,0.413220259559172,0.375298815512145,0.464595645134104,0.34300940960946
"Pseudoeurycea lynchi",0.265505166693157,0.644601080893542,0.153334009011986,0.310144825623907,0.125561324302168,0.302982010756547,0.651114054263937,0.457714751835352,0.568396218676274,0.132230873343127,0.465228079559484,0.273690747404206,0.353225073651064,0.493265947882215,0.304911873789319,0.311424982157107,0.32763501656172,0.339890411963287,0.35619727449708,0.29856645187557,0.302711963646154,0.125209590878605,0.209066812615915,0.302869360770796,0.548108530369476,0.323292280772596,0.462615404620519,0.248811306524424,0.564360945941997,0.427959235600552,0,0.533490838262877,0.186604007994382,0.344970812001302,0.393175420528665,0.452252102929598,0.326223697363402,0.338365992144132,0.250078309704396,0.314278708650637,0.240548677865617
"Pseudoeurycea melanomolga",0.685579654372394,0.638046326564595,0.64095597619624,0.673117957253462,0.606675690035268,0.500428845502765,0.718285768585094,0.481483476527781,0.553847153344739,0.648706444062551,0.606812863766716,0.61276952917743,0.664432707862445,0.600670925536754,0.507488532472134,0.635584527832303,0.651524788681121,0.543165128308503,0.708781943183292,0.636307171528172,0.665634212785013,0.647534834818871,0.597725821221011,0.47867798092067,0.237024614859871,0.352332874013213,0.21657680577037,0.564520731359336,0.438996579247435,0.43253152105875,0.533490838262877,0,0.563815320857346,0.471770601126996,0.285674392627758,0.510441369058153,0.502601890951734,0.620308769943935,0.528818217242393,0.657499550820983,0.474395064799008
"Pseudoeurycea nigromaculata",0.263171519004718,0.617183299500741,0.232640955774471,0.376193262559559,0.118512868906498,0.245476659882981,0.562674854998294,0.398420674802584,0.43527090819418,0.260670688929423,0.431593737875785,0.239208119359446,0.462024594836713,0.494065440871736,0.25117379827385,0.419063526320728,0.432058849440578,0.246868107332783,0.458722448035425,0.330269850691749,0.409316190202557,0.253091832271966,0.287591761162373,0.191501174637768,0.510555277638819,0.322498554077501,0.485998578535892,0.166734216679657,0.509926912757887,0.355887993862677,0.186604007994382,0.563815320857346,0,0.263367729831144,0.367296340023613,0.377954202091418,0.240558523844519,0.294448340927705,0.262830814000485,0.377062061312024,0.267945503508842
"Pseudoeurycea rex",0.462822807766233,0.587869615685084,0.374951094881857,0.434256608180875,0.335602704502576,0.276524859276939,0.580723478127182,0.230992954284778,0.384493051379028,0.442972087330727,0.568138170442771,0.379519667853967,0.49689549147463,0.485073825060784,0.297663970451135,0.448867855765828,0.479994607443382,0.253193655355621,0.507293155596637,0.398859200821417,0.460442494330882,0.438410239881689,0.307736076409498,0.162654523782621,0.420593690220716,0.27205055580068,0.398199132953915,0.317995865042009,0.387782948393212,0.29526891662814,0.344970812001302,0.471770601126996,0.263367729831144,0,0.270653625846182,0.183982110011941,0.252611881239245,0.393004345605957,0.290247630693977,0.433928146932859,0.276378431597504
